timeStamp,motor_angle_L_uint16,motor_angle_L_float,motor_angle_R_uint16,motor_angle_R_float,motor_vel_L_int16,motor_vel_L_float,motor_vel_R_int16,motor_vel_R_float,flag_num
1758089412.88391,34173.0,187.72075,40202.0,220.83955,-1598.0,-44.38889,-4345.0,-120.69444,3.0
1758089412.90334,34256.0,188.1767,39973.0,219.58159,-1643.0,-45.63889,-4632.0,-128.66667,3.0
1758089412.90406,34345.0,188.66559,39728.0,218.23575,-1839.0,-51.08333,-4954.0,-137.61111,3.0
1758089412.92008,34444.0,189.20944,39470.0,216.8185,-2062.0,-57.27778,-5166.0,-143.5,3.0
1758089412.92084,34552.0,189.8027,39202.0,215.3463,-2210.0,-61.38889,-5401.0,-150.02777,3.0
1758089412.93635,34669.0,190.4454,38923.0,213.81369,-2385.0,-66.25,-5551.0,-154.19444,3.0
1758089412.9387,34794.0,191.13206,38647.0,212.29755,-2498.0,-69.38889,-5317.0,-147.69444,3.0
1758089412.95432,34926.0,191.85716,38387.0,210.86931,-2648.0,-73.55556,-4932.0,-137.0,3.0
1758089412.95584,35065.0,192.62074,38145.0,209.53995,-2815.0,-78.19444,-4650.0,-129.16667,3.0
1758089412.97209,35217.0,193.45572,37917.0,208.28748,-3132.0,-87.0,-4306.0,-119.61111,3.0
1758089412.98825,35386.0,194.38406,37709.0,207.14488,-3469.0,-96.36111,-3930.0,-109.16666,3.0
1758089412.9889,35571.0,195.40031,37522.0,206.11766,-3807.0,-105.75,-3510.0,-97.5,3.0
1758089413.00514,35775.0,196.52095,37352.0,205.18379,-4165.0,-115.69444,-3253.0,-90.36111,3.0
1758089413.00717,35997.0,197.74045,37196.0,204.32684,-4561.0,-126.69444,-2954.0,-82.05556,3.0
1758089413.02336,36241.0,199.08081,37058.0,203.56879,-4988.0,-138.55556,-2538.0,-70.5,3.0
1758089413.04411,36507.0,200.54201,36943.0,202.93704,-5427.0,-150.75,-2105.0,-58.47222,3.0
1758089413.07163,36788.0,202.0856,36852.0,202.43716,-5637.0,-156.58333,-1548.0,-43.0,3.0
1758089413.07309,37079.0,203.68414,36786.0,202.07462,-5843.0,-162.30556,-1124.0,-31.22222,3.0
1758089413.07382,37384.0,205.35957,36745.0,201.8494,-6122.0,-170.05556,-648.0,-18.0,3.0
1758089413.07496,37699.0,207.08995,36719.0,201.70656,-6264.0,-174.0,-403.0,-11.19444,3.0
1758089413.07574,38055.0,209.04556,36704.0,201.62416,-6392.0,-177.55556,-191.0,-5.30556,3.0
1758089413.09294,38347.0,210.64958,36700.0,201.60219,-6527.0,-181.30556,-40.0,-1.11111,3.0
1758089413.10919,38671.0,212.42938,36699.0,201.59669,-6305.0,-175.13889,0.0,0.0,3.0
1758089413.10978,38988.0,214.17075,36699.0,201.59669,-6236.0,-173.22223,0.0,0.0,3.0
1758089413.12838,39300.0,215.88466,36699.0,201.59669,-6111.0,-169.75,-15.0,-0.41667,3.0
1758089413.12916,39597.0,217.51614,36697.0,201.58571,-5692.0,-158.11111,-74.0,-2.05556,3.0
1758089413.14835,39881.0,219.07622,36687.0,201.53078,-5531.0,-153.63889,-321.0,-8.91667,3.0
1758089413.14959,40160.0,220.60884,36663.0,201.39894,-5472.0,-152.0,-604.0,-16.77778,3.0
1758089413.16548,40431.0,222.0975,36623.0,201.17921,-5342.0,-148.38889,-921.0,-25.58333,3.0
1758089413.16618,40702.0,223.58618,36562.0,200.84413,-5348.0,-148.55556,-1424.0,-39.55556,3.0
1758089413.18136,40973.0,225.07484,36479.0,200.38818,-5328.0,-148.0,-1802.0,-50.05556,3.0
1758089413.19821,41238.0,226.53055,36378.0,199.83337,-5124.0,-142.33333,-2095.0,-58.19444,3.0
1758089413.19898,41490.0,227.91486,36264.0,199.20715,-4892.0,-135.88889,-2365.0,-65.69444,3.0
1758089413.21433,41727.0,229.21675,36142.0,198.53696,-4547.0,-126.30556,-2458.0,-68.27778,3.0
1758089413.21801,41944.0,230.4088,36015.0,197.83932,-4110.0,-114.16666,-2544.0,-70.66666,3.0
1758089413.23345,42134.0,231.45251,35893.0,197.16914,-3445.0,-95.69444,-2305.0,-64.02778,3.0
1758089413.2494,42293.0,232.32593,35780.0,196.54842,-2936.0,-81.55556,-2230.0,-61.94444,3.0
1758089413.25018,42435.0,233.10597,35666.0,195.92216,-2703.0,-75.08334,-2313.0,-64.25,3.0
1758089413.26731,42571.0,233.85304,35542.0,195.24101,-2679.0,-74.41666,-2584.0,-71.77778,3.0
1758089413.26767,42711.0,234.62212,35401.0,194.46646,-2802.0,-77.83334,-2927.0,-81.30556,3.0
1758089413.28341,42857.0,235.42412,35243.0,193.59854,-2956.0,-82.11111,-3245.0,-90.13889,3.0
1758089413.29937,43010.0,236.26459,35073.0,192.66469,-3076.0,-85.44444,-3454.0,-95.94444,3.0
1758089413.30004,43167.0,237.12704,34898.0,191.70335,-3134.0,-87.05556,-3451.0,-95.86111,3.0
1758089413.31538,43323.0,237.98398,34725.0,190.75304,-3052.0,-84.77778,-3363.0,-93.41666,3.0
1758089413.31803,43474.0,238.81346,34560.0,189.84665,-2860.0,-79.44444,-3149.0,-87.47222,3.0
1758089413.3334,43612.0,239.57152,34408.0,189.01166,-2598.0,-72.16666,-2879.0,-79.97222,3.0
1758089413.3495,43734.0,240.2417,34272.0,188.26459,-2274.0,-63.16667,-2528.0,-70.22222,3.0
1758089413.35028,43842.0,240.83496,34153.0,187.61089,-2006.0,-55.72222,-2165.0,-60.13889,3.0
1758089413.36784,43933.0,241.33487,34053.0,187.06157,-1715.0,-47.63889,-1834.0,-50.94444,3.0
1758089413.36859,44013.0,241.77432,33969.0,186.60014,-1459.0,-40.52778,-1545.0,-42.91667,3.0
1758089413.38448,44084.0,242.16434,33898.0,186.21011,-1368.0,-38.0,-1303.0,-36.19444,3.0
1758089413.38807,44149.0,242.52139,33836.0,185.86954,-1268.0,-35.22222,-1243.0,-34.52778,3.0
1758089413.40348,44215.0,242.88396,33776.0,185.53995,-1336.0,-37.11111,-1133.0,-31.47222,3.0
1758089413.41941,44280.0,243.24101,33718.0,185.22134,-1292.0,-35.88889,-1169.0,-32.47222,3.0
1758089413.42169,44346.0,243.60356,33656.0,184.88074,-1316.0,-36.55556,-1175.0,-32.63889,3.0
1758089413.43872,44412.0,243.96611,33595.0,184.54565,-1288.0,-35.77778,-1274.0,-35.38889,3.0
1758089413.43913,44478.0,244.32869,33527.0,184.17212,-1293.0,-35.91667,-1364.0,-37.88889,3.0
1758089413.45447,44534.0,244.63631,33468.0,183.84802,-936.0,-26.0,-1063.0,-29.52778,3.0
1758089413.45681,44563.0,244.79561,33428.0,183.6283,-277.0,-7.69444,-565.0,-15.69444,3.0
1758089413.47348,44562.0,244.79012,33420.0,183.58435,133.0,3.69444,101.0,2.80556,3.0
1758089413.48949,44546.0,244.70222,33432.0,183.65027,453.0,12.58333,296.0,8.22222,3.0
1758089413.49128,44514.0,244.52644,33452.0,183.76013,783.0,21.75,528.0,14.66667,3.0
1758089413.50914,44460.0,244.22981,33482.0,183.92493,1268.0,35.22222,643.0,17.86111,3.0
1758089413.50965,44385.0,243.81779,33522.0,184.14465,1619.0,44.97222,922.0,25.61111,3.0
1758089413.52554,44289.0,243.29045,33578.0,184.45227,2053.0,57.02778,1220.0,33.88889,3.0
1758089413.52637,44174.0,242.65874,33646.0,184.82581,2415.0,67.08334,1386.0,38.5,3.0
1758089413.54154,44042.0,241.93362,33724.0,185.2543,2779.0,77.19444,1625.0,45.13889,3.0
1758089413.55839,43892.0,241.10962,33811.0,185.73221,3103.0,86.19444,1771.0,49.19444,3.0
1758089413.55962,43726.0,240.19775,33904.0,186.24307,3387.0,94.08334,1866.0,51.83333,3.0
1758089413.57446,43550.0,239.23094,34002.0,186.78142,3517.0,97.69444,1975.0,54.86111,3.0
1758089413.57575,43377.0,238.28061,34101.0,187.32524,3322.0,92.27778,1961.0,54.47222,3.0
1758089413.59151,43217.0,237.4017,34196.0,187.84711,3089.0,85.80556,1804.0,50.11111,3.0
1758089413.60755,43062.0,236.55023,34285.0,188.336,3020.0,83.88889,1722.0,47.83333,3.0
1758089413.6083,42908.0,235.70428,34378.0,188.84686,3033.0,84.25,1958.0,54.38889,3.0
1758089413.62352,42758.0,234.88029,34485.0,189.43466,2916.0,81.0,2242.0,62.27778,3.0
1758089413.63954,42614.0,234.08925,34606.0,190.09933,2808.0,78.0,2540.0,70.55556,3.0
1758089413.64034,42477.0,233.33669,34733.0,190.79698,2599.0,72.19444,2461.0,68.36111,3.0
1758089413.65549,42355.0,232.6665,34846.0,191.41771,2215.0,61.52778,1982.0,55.05556,3.0
1758089413.65618,42258.0,232.13367,34929.0,191.87364,1643.0,45.63889,1321.0,36.69444,3.0
1758089413.67156,42194.0,231.7821,34980.0,192.15382,942.0,26.16667,770.0,21.38889,3.0
1758089413.68757,42164.0,231.61731,35001.0,192.26918,344.0,9.55556,190.0,5.27778,3.0
1758089413.68872,42158.0,231.58435,35000.0,192.26369,-32.0,-0.88889,-84.0,-2.33333,3.0
1758089413.70351,42159.0,231.58984,34998.0,192.2527,0.0,0.0,0.0,0.0,3.0
1758089413.72306,42157.0,231.57886,34998.0,192.2527,43.0,1.19444,0.0,0.0,3.0
1758089413.72343,42151.0,231.5459,35000.0,192.26369,194.0,5.38889,30.0,0.83333,3.0
1758089413.74049,42131.0,231.43604,35002.0,192.27467,611.0,16.97222,44.0,1.22222,3.0
1758089413.74123,42083.0,231.17235,35006.0,192.29665,1188.0,33.0,128.0,3.55556,3.0
1758089413.75857,42005.0,230.74388,35019.0,192.36806,1876.0,52.11111,331.0,9.19444,3.0
1758089413.7594,41890.0,230.11217,35040.0,192.48341,2561.0,71.13889,483.0,13.41667,3.0
1758089413.77532,41739.0,229.28267,35070.0,192.64821,3261.0,90.58334,671.0,18.63889,3.0
1758089413.77743,41559.0,228.29388,35109.0,192.86244,3787.0,105.19444,845.0,23.47222,3.0
1758089413.79376,41355.0,227.17328,35154.0,193.10963,4178.0,116.05556,841.0,23.36111,3.0
1758089413.81223,41134.0,225.95926,35192.0,193.31837,4475.0,124.30556,691.0,19.19444,3.0
1758089413.81271,40900.0,224.67384,35225.0,193.49966,4636.0,128.77777,574.0,15.94444,3.0
1758089413.82862,40663.0,223.37195,35253.0,193.65347,4722.0,131.16667,516.0,14.33333,3.0
1758089413.82939,40422.0,222.04807,35279.0,193.7963,4787.0,132.97223,521.0,14.47222,3.0
1758089413.84543,40176.0,220.69673,35304.0,193.93362,4942.0,137.27777,517.0,14.36111,3.0
1758089413.84665,39919.0,219.28496,35339.0,194.12589,5192.0,144.22223,848.0,23.55556,3.0
1758089413.86339,39650.0,217.80728,35398.0,194.44998,5431.0,150.86111,1385.0,38.47222,3.0
1758089413.88075,39368.0,216.25819,35482.0,194.91142,5694.0,158.16667,1882.0,52.27778,3.0
1758089413.88116,39070.0,214.6212,35594.0,195.52666,5957.0,165.47223,2424.0,67.33334,3.0
1758089413.89752,38765.0,212.94574,35731.0,196.27925,6037.0,167.69444,2892.0,80.33334,3.0
1758089413.89826,38463.0,211.28679,35891.0,197.15816,5941.0,165.02777,3323.0,92.30556,3.0
1758089413.9137,38164.0,209.64432,36071.0,198.14694,5786.0,160.72223,3737.0,103.80556,3.0
1758089413.92965,37883.0,208.10071,36269.0,199.23462,5343.0,148.41667,4069.0,113.02778,3.0
1758089413.93048,37628.0,206.69994,36482.0,200.40468,4811.0,133.63889,4302.0,119.5,3.0
1758089413.94571,37400.0,205.44746,36705.0,201.62965,4294.0,119.27778,4525.0,125.69444,3.0
1758089413.94653,37202.0,204.3598,36941.0,202.92606,3639.0,101.08334,4786.0,132.94444,3.0
1758089413.96167,37037.0,203.45343,37191.0,204.29938,2969.0,82.47222,5080.0,141.11111,3.0
1758089413.97849,36904.0,202.72281,37453.0,205.7386,2370.0,65.83334,5297.0,147.13889,3.0
1758089413.97931,36804.0,202.17349,37727.0,207.24376,1733.0,48.13889,5500.0,152.77777,3.0
1758089413.99635,36731.0,201.77248,38013.0,208.81482,1176.0,32.66667,5737.0,159.36111,3.0
1758089413.99829,36684.0,201.5143,38309.0,210.44084,738.0,20.5,5911.0,164.19444,3.0
1758089414.01375,36654.0,201.3495,38612.0,212.10529,500.0,13.88889,6101.0,169.47223,3.0
1758089414.0314,36637.0,201.25612,38931.0,213.85764,228.0,6.33333,6401.0,177.80556,3.0
1758089414.03191,36631.0,201.22316,39264.0,215.68687,12.0,0.33333,6679.0,185.52777,3.0
1758089414.04771,36631.0,201.22316,39608.0,217.57657,0.0,0.0,6917.0,192.13889,3.0
1758089414.04894,36631.0,201.22316,39966.0,219.54314,0.0,0.0,7157.0,198.80556,3.0
1758089414.06367,36631.0,201.22316,40326.0,221.52072,0.0,0.0,7115.0,197.63889,3.0
1758089414.07966,36631.0,201.22316,40689.0,223.51477,9.0,0.25,7179.0,199.41667,3.0
1758089414.08106,36630.0,201.21767,41051.0,225.50331,15.0,0.41667,7145.0,198.47223,3.0
1758089414.097,36628.0,201.20668,41411.0,227.4809,60.0,1.66667,7087.0,196.86111,3.0
1758089414.09751,36623.0,201.17921,41774.0,229.47493,145.0,4.02778,7091.0,196.97223,3.0
1758089414.11271,36611.0,201.1133,42125.0,231.40308,303.0,8.41667,6824.0,189.55556,3.0
1758089414.12881,36591.0,201.00343,42467.0,233.28175,498.0,13.83333,6727.0,186.86111,3.0
1758089414.12935,36561.0,200.83864,42793.0,235.07256,627.0,17.41667,6154.0,170.94444,3.0
1758089414.14587,36525.0,200.64088,43090.0,236.70404,789.0,21.91667,5675.0,157.63889,3.0
1758089414.1469,36479.0,200.38818,43364.0,238.2092,990.0,27.5,5278.0,146.61111,3.0
1758089414.1627,36420.0,200.06409,43620.0,239.61546,1338.0,37.16667,4907.0,136.30556,3.0
1758089414.17873,36339.0,199.61914,43859.0,240.92834,1783.0,49.52778,4569.0,126.91666,3.0
1758089414.17936,36234.0,199.04236,44082.0,242.15335,2298.0,63.83333,4263.0,118.41666,3.0
1758089414.19548,36105.0,198.33371,44291.0,243.30144,2740.0,76.11111,4011.0,111.41666,3.0
1758089414.19618,35956.0,197.51521,44485.0,244.36714,3087.0,85.75,3714.0,103.16666,3.0
1758089414.21173,35790.0,196.60335,44661.0,245.33394,3393.0,94.25,3310.0,91.94444,3.0
1758089414.22858,35612.0,195.62553,44816.0,246.18539,3642.0,101.16666,2841.0,78.91666,3.0
1758089414.22938,35426.0,194.60379,44948.0,246.91052,3682.0,102.27778,2414.0,67.05556,3.0
1758089414.24476,35239.0,193.57657,45059.0,247.52026,3669.0,101.91666,1986.0,55.16667,3.0
1758089414.24554,35055.0,192.56581,45150.0,248.02014,3589.0,99.69444,1666.0,46.27778,3.0
1758089414.26079,34875.0,191.57701,45222.0,248.41566,3530.0,98.05556,1281.0,35.58333,3.0
1758089414.27677,34699.0,190.61021,45280.0,248.73427,3458.0,96.05556,1034.0,28.72222,3.0
1758089414.27836,34529.0,189.67636,45321.0,248.95949,3280.0,91.11111,669.0,18.58333,3.0
1758089414.29378,34368.0,188.79193,45349.0,249.1133,3051.0,84.75,454.0,12.61111,3.0
1758089414.3098,34219.0,187.97345,45370.0,249.22865,2860.0,79.44444,351.0,9.75,3.0
1758089414.31041,34080.0,187.20988,45384.0,249.30556,2613.0,72.58334,231.0,6.41667,3.0
1758089414.32579,33954.0,186.51775,45391.0,249.34401,2371.0,65.86111,69.0,1.91667,3.0
1758089414.32651,33844.0,185.91348,45392.0,249.3495,2042.0,56.72222,6.0,0.16667,3.0
1758089414.34281,33747.0,185.38065,45392.0,249.3495,1714.0,47.61111,0.0,0.0,3.0
1758089414.35849,33677.0,184.99612,45391.0,249.34401,1147.0,31.86111,0.0,0.0,3.0
1758089414.35942,33643.0,184.80933,45389.0,249.33302,270.0,7.5,-54.0,-1.5,3.0
1758089414.37478,33650.0,184.84778,45382.0,249.29457,-356.0,-9.88889,-180.0,-5.0,3.0
1758089414.3756,33681.0,185.0181,45368.0,249.21767,-732.0,-20.33333,-393.0,-10.91667,3.0
1758089414.39077,33727.0,185.27078,45342.0,249.07484,-1079.0,-29.97222,-596.0,-16.55556,3.0
1758089414.4076,33793.0,185.63333,45302.0,248.85512,-1452.0,-40.33333,-949.0,-26.36111,3.0
1758089414.40841,33875.0,186.08377,45242.0,248.52553,-1713.0,-47.58333,-1300.0,-36.11111,3.0
1758089414.42382,33970.0,186.60564,45167.0,248.11353,-1938.0,-53.83333,-1608.0,-44.66667,3.0
1758089414.44003,34071.0,187.16045,45077.0,247.61914,-2018.0,-56.05556,-1821.0,-50.58333,3.0
1758089414.44196,34170.0,187.70427,44980.0,247.0863,-1926.0,-53.5,-1973.0,-54.80556,3.0
1758089414.45865,34264.0,188.22064,44876.0,246.51498,-1794.0,-49.83333,-2085.0,-57.91667,3.0
1758089414.4595,34349.0,188.68756,44770.0,245.93271,-1611.0,-44.75,-2088.0,-58.0,3.0
1758089414.47484,34426.0,189.11053,44663.0,245.34492,-1495.0,-41.52778,-2149.0,-59.69444,3.0
1758089414.47561,34505.0,189.54453,44550.0,244.7242,-1619.0,-44.97222,-2327.0,-64.63889,3.0
1758089414.49081,34588.0,190.00046,44420.0,244.01009,-1622.0,-45.05556,-2712.0,-75.33334,3.0
